,tH,tL,ave_tem
2019.01.01,1.0,-10.0,-4.5
2019.01.02,1.0,-9.0,-4.0
2019.01.03,2.0,-7.0,-2.5
2019.01.04,2.0,-7.0,-2.5
2019.01.05,0.0,-8.0,-4.0
2019.01.06,3.0,-7.0,-2.0
2019.01.07,2.0,-7.0,-2.5
2019.01.08,1.0,-10.0,-4.5
2019.01.09,2.0,-9.0,-3.5
2019.01.10,4.0,-7.0,-1.5
2019.01.11,5.0,-6.0,-0.5
2019.01.12,5.0,-5.0,0.0
2019.01.13,6.0,-7.0,-0.5
2019.01.14,6.0,-8.0,-1.0
2019.01.15,-2.0,-10.0,-6.0
2019.01.16,2.0,-8.0,-3.0
2019.01.17,5.0,-7.0,-1.0
2019.01.18,6.0,-6.0,0.0
2019.01.19,4.0,-5.0,-0.5
2019.01.20,5.0,-7.0,-1.0
2019.01.21,9.0,-4.0,2.5
2019.01.22,10.0,-3.0,3.5
2019.01.23,10.0,-4.0,3.0
2019.01.24,5.0,-5.0,0.0
2019.01.25,5.0,-6.0,-0.5
2019.01.26,5.0,-5.0,0.0
2019.01.27,7.0,-5.0,1.0
2019.01.28,6.0,-4.0,1.0
2019.01.29,6.0,-4.0,1.0
2019.01.30,3.0,-7.0,-2.0
2019.01.31,2.0,-8.0,-3.0
2019.02.01,6.0,-5.0,0.5
2019.02.02,3.0,-3.0,0.0
2019.02.03,7.0,-7.0,0.0
2019.02.04,4.0,-6.0,-1.0
2019.02.05,1.0,-5.0,-2.0
2019.02.06,0.0,-7.0,-3.5
2019.02.07,-3.0,-10.0,-6.5
2019.02.08,-1.0,-7.0,-4.0
2019.02.09,0.0,-8.0,-4.0
2019.02.10,-1.0,-8.0,-4.5
2019.02.11,3.0,-6.0,-1.5
2019.02.12,-3.0,-7.0,-5.0
2019.02.13,1.0,-6.0,-2.5
2019.02.14,-3.0,-6.0,-4.5
2019.02.15,2.0,-7.0,-2.5
2019.02.16,3.0,-6.0,-1.5
2019.02.17,6.0,-4.0,1.0
2019.02.18,4.0,-3.0,0.5
2019.02.19,7.0,-4.0,1.5
2019.02.20,9.0,-4.0,2.5
2019.02.21,11.0,-3.0,4.0
2019.02.22,10.0,-2.0,4.0
2019.02.23,12.0,-2.0,5.0
2019.02.24,13.0,-1.0,6.0
2019.02.25,11.0,-2.0,4.5
2019.02.26,10.0,-2.0,4.0
2019.02.27,12.0,-2.0,5.0
2019.02.28,14.0,-1.0,6.5
2019.03.01,15.0,1.0,8.0
2019.03.02,15.0,3.0,9.0
2019.03.03,14.0,1.0,7.5
2019.03.04,16.0,2.0,9.0
2019.03.05,17.0,4.0,10.5
2019.03.06,11.0,-2.0,4.5
2019.03.07,13.0,-1.0,6.0
2019.03.08,14.0,3.0,8.5
2019.03.09,12.0,2.0,7.0
2019.03.10,13.0,2.0,7.5
2019.03.11,16.0,1.0,8.5
2019.03.12,12.0,1.0,6.5
2019.03.13,16.0,2.0,9.0
2019.03.14,16.0,4.0,10.0
2019.03.15,14.0,0.0,7.0
2019.03.16,19.0,2.0,10.5
2019.03.17,20.0,4.0,12.0
2019.03.18,21.0,6.0,13.5
2019.03.19,25.0,12.0,18.5
2019.03.20,20.0,6.0,13.0
2019.03.21,13.0,0.0,6.5
2019.03.22,15.0,3.0,9.0
2019.03.23,12.0,2.0,7.0
2019.03.24,19.0,4.0,11.5
2019.03.25,22.0,5.0,13.5
2019.03.26,19.0,4.0,11.5
2019.03.27,21.0,4.0,12.5
2019.03.28,11.0,2.0,6.5
2019.03.29,13.0,4.0,8.5
2019.03.30,12.0,0.0,6.0
2019.03.31,16.0,2.0,9.0
2019.04.01,16.0,4.0,10.0
2019.04.02,19.0,3.0,11.0
2019.04.03,21.0,8.0,14.5
2019.04.04,28.0,9.0,18.5
2019.04.05,21.0,8.0,14.5
2019.04.06,19.0,6.0,12.5
2019.04.07,19.0,7.0,13.0
2019.04.08,17.0,5.0,11.0
2019.04.09,9.0,3.0,6.0
2019.04.10,18.0,9.0,13.5
2019.04.11,19.0,6.0,12.5
2019.04.12,22.0,9.0,15.5
2019.04.13,23.0,7.0,15.0
2019.04.14,23.0,8.0,15.5
2019.04.15,26.0,12.0,19.0
2019.04.16,26.0,13.0,19.5
2019.04.17,28.0,16.0,22.0
2019.04.18,23.0,10.0,16.5
2019.04.19,20.0,10.0,15.0
2019.04.20,15.0,8.0,11.5
2019.04.21,22.0,8.0,15.0
2019.04.22,26.0,14.0,20.0
2019.04.23,27.0,15.0,21.0
2019.04.24,19.0,9.0,14.0
2019.04.25,18.0,8.0,13.0
2019.04.26,20.0,10.0,15.0
2019.04.27,15.0,6.0,10.5
2019.04.28,18.0,9.0,13.5
2019.04.29,23.0,13.0,18.0
2019.04.30,24.0,12.0,18.0
2019.05.01,28.0,10.0,19.0
2019.05.02,29.0,14.0,21.5
2019.05.03,28.0,16.0,22.0
2019.05.04,28.0,16.0,22.0
2019.05.05,23.0,10.0,16.5
2019.05.06,25.0,10.0,17.5
2019.05.07,28.0,14.0,21.0
2019.05.08,25.0,13.0,19.0
2019.05.09,30.0,14.0,22.0
2019.05.10,30.0,14.0,22.0
2019.05.11,29.0,14.0,21.5
2019.05.12,25.0,11.0,18.0
2019.05.13,26.0,12.0,19.0
2019.05.14,29.0,16.0,22.5
2019.05.15,28.0,16.0,22.0
2019.05.16,32.0,19.0,25.5
2019.05.17,31.0,20.0,25.5
2019.05.18,27.0,18.0,22.5
